Location;Product;Date;Customer;Quantity
2621;83727885;20170101;HEDEF HADIMKOY;819,5
2621;83727885;20170101;HEDEF- OZEN BURSA;82,5
2621;83727885;20170101;HEDEF-CAGRI SANCAKTEPE;63,8
2621;83727885;20170101;MAKRO MARKET A.S. # UYUM (ISTA;110
2621;83727885;20170101;MAKRO MARKET A.S.(KAYSERI);-1,1
2621;83727885;20170101;MAKRO MARKET A.S.(SAMSUN);66
2621;83727885;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;139,7
2621;83727885;20170101;MIGROS A.S.-(GEBZE MERKEZ XDOC;452,1
2621;83727885;20170101;MIGROS A.S.-(SARAY ANKARA);149,6
2621;83727885;20170101;MIGROS ANTALYA SERIK DEPO;154
2621;83727885;20170101;MIGROS AS-(PINARBASI) (TANSAS);258,5
2621;83727885;20170101;MIGROS ERZURUM DEPO;93,5
2621;83727885;20170101;MIGROS ESENYURT DAG.MERK.;117,7
2621;83727885;20170101;MIGROS MUGLA MERKEZ DEPO;159,5
2621;83727885;20170101;MIGROS T.A.S.-ADANA;280,5
2621;83727885;20170101;OZGUN GIDA KOZMETIK VE DAG. AS;118,8
2621;83727885;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;118,8
2621;83727885;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;992,2
2621;83727885;20170101;OZGUN KOZM. GIDA SAN. AS.-SAMS;50,6
2621;83727885;20170101;REAL H.MAR.ZIN.A.S # EKOL (GE;35,2
2621;83727885;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;27,5
2621;83727885;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;41,8
2621;83727885;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;31,9
2621;83727885;20170101;TESCO KIPA KITLE PAZARLAMA TIC;99
2621;83727885;20170101;YONTEM KOZMETIK ANONIM SIRKETI;1603,8
2621;83728145;20170101;BIM A.S./ FILE ESENYURT;3,2
2621;83728145;20170101;ECZACIBASI-HAKAN LOJISTIK;54,4
2621;83728145;20170101;MIGROS A.S.-(GEBZE MERKEZ XDOC;11,2
2621;83728145;20170101;MIGROS A.S.-(SARAY ANKARA);12,8
2621;83728145;20170101;MIGROS ANTALYA SERIK DEPO;12,8
2621;83728145;20170101;MIGROS AS-(PINARBASI) (TANSAS);9,6
2621;83728145;20170101;MIGROS ERZURUM DEPO;16
2621;83728145;20170101;MIGROS ESENYURT DAG.MERK.;16
2621;83728145;20170101;MIGROS MUGLA MERKEZ DEPO;16
2621;83728145;20170101;MIGROS T.A.S.-ADANA;8
2621;83728145;20170101;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;1,6
2621;83728146;20170101;AYKANLAR IZMIR YENI;1,6
2621;83728146;20170101;MIGROS ESENYURT DAG.MERK.;4,8
2621;83728146;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;1,6
2621;83728146;20170101;YONTEM - ECOMMERCE;51,2
2621;83728146;20170101;YONTEM KOZMETIK ANONIM SIRKETI;76,8
2621;83728234;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;-0,44403552
2621;83728237;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;-0,22222
2621;83728239;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;-0,22222
2621;83728244;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;-1,00008
2621;83728563;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;-1,8
2621;83729511;20170101;ECZACIBASI-HAKAN LOJISTIK;20
2621;83729511;20170101;YONTEM - ECOMMERCE;96
2621;83729511;20170101;YONTEM KOZMETIK ANONIM SIRKETI;120
2621;83729512;20170101;YONTEM - ECOMMERCE;26
2621;83729954;20170101;ADNAN ANTEP;8,3334
2621;83729954;20170101;ADNAN TIC.PAZ. AS-MALATYA;83,334
2621;83729954;20170101;ADNAN TIC.PAZ. AS-MERSIN;40,00032
2621;83729954;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;5,00004
2621;83729954;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;10,00008
2621;83729954;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;5,00004
2621;83729954;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;3,33336
2621;83729954;20170101;YONTEM KOZMETIK ANONIM SIRKETI;1240,00992
2621;83730220;20170101;ADNAN ANTEP;37,8
2621;83730220;20170101;ADNAN TIC.PAZ. AS-MERSIN;16,8
2621;83730220;20170101;AYKANLAR GD SN TIC.AS-KONYA;3,5
2621;83730220;20170101;AYKANLAR IZMIR YENI;67,9
2621;83730220;20170101;AYKANLAR KOZMETIK TICARET VE P;15,4
2621;83730220;20170101;CARREFOUR A.S.(ADANA).DEPO-1;0,7
2621;83730220;20170101;CARREFOUR A.S.(ANKARA).DEPO-1;1,4
2621;83730220;20170101;CARREFOUR A.S.(GEBZE).DEPO-1;9,1
2621;83730220;20170101;ECZACIBASI-HAKAN LOJISTIK;130,2
2621;83730220;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;207,9
2621;83730220;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;38,5
2621;83730220;20170101;HEDEF-CAGRI SANCAKTEPE;52,5
